Unnamed: 0,event_id,event_type,login,repository,created_at,action,PR_number,state,PR_node_id,review_state,review_node_id,push_id,PR_closed_at,num_comments,comment_node_id,merged,ref,ref_type,issue_number,issue_node_id,issue_closed_at,tag_name,release_node_id,org
2126,39766532601,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 13:07:32,created,,open,,,,,,4.0,IC_kwDOAx6EUs6DItLV,,,,6946.0,I_kwDOAx6EUs6OFglP,,,,openjournals
2128,39766533931,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 13:07:34,created,,open,,,,,,5.0,IC_kwDOAx6EUs6DItM6,,,,6946.0,I_kwDOAx6EUs6OFglP,,,,openjournals
2129,39766534526,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 13:07:35,created,,open,,,,,,3.0,IC_kwDOAx6EUs6DItNU,,,,6947.0,I_kwDOAx6EUs6OFgrS,,,,openjournals
2130,39766534943,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 13:07:36,created,,open,,,,,,3.0,IC_kwDOAx6EUs6DItNq,,,,6947.0,I_kwDOAx6EUs6OFgrS,,,,openjournals
2131,39766539820,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 13:07:44,created,,open,,,,,,4.0,IC_kwDOAx6EUs6DItSb,,,,6947.0,I_kwDOAx6EUs6OFgrS,,,,openjournals
2132,39766541225,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 13:07:47,created,,open,,,,,,5.0,IC_kwDOAx6EUs6DItTq,,,,6947.0,I_kwDOAx6EUs6OFgrS,,,,openjournals
2142,39766563907,CreateEvent,editorialbot,openjournals/joss-papers,2024-07-01 13:08:24,,,,,,,,,,,,joss.06947,branch,,,,,,openjournals
2143,39766565075,PushEvent,editorialbot,openjournals/joss-papers,2024-07-01 13:08:26,,,,,,,19122322508.0,,,,,,,,,,,,openjournals
2144,39766565548,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 13:08:27,created,,open,,,,,,6.0,IC_kwDOAx6EUs6DItql,,,,6947.0,I_kwDOAx6EUs6OFgrS,,,,openjournals
2145,39766568233,CreateEvent,editorialbot,openjournals/joss-papers,2024-07-01 13:08:31,,,,,,,,,,,,joss.06946,branch,,,,,,openjournals
